plot,blk,trt,plt.date,term.plt,herb.trt,herb.trt.POSTdemo,NoResidualAtPost,location,date,year,timing,weed.species,soy.hgt.cm,weed.demo.unit,above.canopy,greater.ten.cm,less.ten.cm,total.weed.den,std.weed den,eb.data,eb.herb,eb.plt.dt,ea.data,ea.herb,ea.plt.dt,lb.data,lb.herb,lb.plt.dt,la.data,la.herb,la.plt.dt,yield.data,rye.bio.m2,soybean.buac,lorenz,ob1,ob2,ob3,ob4,ob5,ob6,ob7,ob8,ob9,ob10,ob11,ob12,ob13,ob14,ob15,ob16
304,b3,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,4,4,28,no,,,no,,,no,,,no,,,yes,62,61.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
414,b4,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,4,4,30,no,,,no,,,no,,,no,,,yes,54.6,65.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
102,b1,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,4,4,16,24,28,no,,,no,,,no,,,no,,,yes,77.8,70.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
207,b2,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,4,4,36,44,34,no,,,no,,,no,,,no,,,yes,76,68.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,b3,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,8,8,16,32,28,no,,,no,,,no,,,no,,,yes,62,70.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
411,b4,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,44,44,30,no,,,no,,,no,,,no,,,yes,54.6,71.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
101,b1,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,11.5,1m2,0,0,16,16,28,no,,,no,,,no,,,no,,,yes,76,65.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
210,b2,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,34,no,,,no,,,no,,,no,,,yes,62,67.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,b3,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,77.8,66.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
413,b4,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,8,8,30,no,,,no,,,no,,,no,,,yes,54.6,69.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,b1,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,17,1m2,0,0,12,12,28,no,,,no,,,no,,,no,,,yes,73.8,75.6,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
215,b2,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,17,1m2,0,4,52,56,34,no,,,no,,,no,,,no,,,yes,80.2,70.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,b3,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,16,1m2,0,4,20,24,28,no,,,no,,,no,,,no,,,yes,54.6,77.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
405,b4,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,24,24,30,no,,,no,,,no,,,no,,,yes,44.2,60.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
109,b1,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,15,1m2,0,4,16,20,28,no,,,no,,,no,,,no,,,yes,73.8,66,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
212,b2,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,16,16,34,no,,,no,,,no,,,no,,,yes,80.2,61.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
314,b3,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,20,20,28,no,,,no,,,no,,,no,,,yes,54.6,68,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
401,b4,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,13,1m2,0,4,32,36,30,no,,,no,,,no,,,no,,,yes,44.2,60.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
107,b1,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,73.8,79,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
211,b2,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,15,1m2,0,0,8,8,34,no,,,no,,,no,,,no,,,yes,80.2,62.5,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
312,b3,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,15,1m2,0,0,8,8,28,no,,,no,,,no,,,no,,,yes,54.6,68.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
403,b4,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,12,12,30,no,,,no,,,no,,,no,,,yes,44.2,61.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,b1,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,12,12,28,no,,,no,,,no,,,no,,,yes,73.8,66.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
214,b2,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,72,72,34,no,,,no,,,no,,,no,,,yes,80.2,61.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,b3,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,18,1m2,8,16,80,104,28,no,,,no,,,no,,,no,,,yes,54.6,75.6,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
402,b4,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,12,1m2,4,8,44,56,30,no,,,no,,,no,,,no,,,yes,44.2,60,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108,b1,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,14,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,73.8,74.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
213,b2,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,34,no,,,no,,,no,,,no,,,yes,80.2,61.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
313,b3,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,54.6,67.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
404,b4,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,4,4,30,no,,,no,,,no,,,no,,,yes,44.2,48.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
113,b1,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,14,1m2,0,4,8,12,28,no,,,no,,,no,,,no,,,yes,62,66.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201,b2,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,24,24,34,no,,,no,,,no,,,no,,,yes,137,74.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
306,b3,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,28,no,,,no,,,no,,,no,,,yes,98,74.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
406,b4,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,30,no,,,no,,,no,,,no,,,yes,70.8,69,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
115,b1,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,16,16,28,no,,,no,,,no,,,no,,,yes,62,61.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
205,b2,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,24,24,34,no,,,no,,,no,,,no,,,yes,137,74.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
310,b3,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,36,36,28,no,,,no,,,no,,,no,,,yes,98,67.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
410,b4,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,16,16,30,no,,,no,,,no,,,no,,,yes,70.8,64.6,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
114,b1,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,62,66.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
204,b2,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,34,no,,,no,,,no,,,no,,,yes,137,66.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
308,b3,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,28,no,,,no,,,no,,,no,,,yes,98,82.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
407,b4,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,12,12,30,no,,,no,,,no,,,no,,,yes,70.8,66.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
111,b1,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,62,67.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
202,b2,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,28,28,34,no,,,no,,,no,,,no,,,yes,137,74.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
307,b3,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,24,24,28,no,,,no,,,no,,,no,,,yes,98,76.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
409,b4,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,28,28,30,no,,,no,,,no,,,no,,,yes,70.8,67.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
112,b1,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,0,0,28,no,,,no,,,no,,,no,,,yes,62,72.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
203,b2,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,12,12,34,no,,,no,,,no,,,no,,,yes,137,78.8,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
309,b3,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,4,4,28,no,,,no,,,no,,,no,,,yes,98,70.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
408,b4,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,0,0,30,no,,,no,,,no,,,no,,,yes,70.8,69.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
103,b1,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,16,16,8,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
209,b2,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,7,1m2,8,8,8,24,12,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
412,b4,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,9,1m2,8,8,20,36,38,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,b3,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,12,12,20,44,30,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,b1,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,8,8,8,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
206,b2,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,12,12,12,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,b3,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,4,4,30,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
415,b4,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,6,1m2,0,0,0,0,38,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
104,b1,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,8,no,,,yes,pre,std,no,,,yes,pre,early,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
208,b2,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,12,no,,,yes,pre,std,no,,,yes,pre,early,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
304,b3,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,30,no,,,yes,pre,std,no,,,yes,pre,early,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
414,b4,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,38,no,,,yes,pre,std,no,,,yes,pre,early,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
102,b1,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,8,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
207,b2,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,12,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,b3,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,16,16,30,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
411,b4,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,20,36,56,38,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
101,b1,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,0,0,0,8,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
210,b2,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,12,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,b3,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,4,4,30,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
413,b4,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,38,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,b1,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,19,1m2,0,0,16,16,8,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
215,b2,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,18,1m2,0,0,16,16,12,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
405,b4,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,30,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,b3,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,12,1m2,4,4,24,32,30,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
109,b1,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,15,1m2,0,0,0,0,8,yes,pre,early,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
212,b2,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,12,yes,pre,early,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
314,b3,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,18,1m2,0,0,0,0,30,yes,pre,early,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
401,b4,7,green/boot,boot/boot,boot,boot,no,DE,na,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,16,16,38,yes,pre,early,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
107,b1,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,8,no,,,yes,pre,std,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
211,b2,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,17,1m2,0,0,8,8,12,no,,,yes,pre,std,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
312,b3,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,30,no,,,yes,pre,std,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
403,b4,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,0,0,0,38,no,,,yes,pre,std,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,b1,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,24,24,8,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
214,b2,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,18,1m2,0,0,20,20,12,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
402,b4,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,20,20,38,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,b3,9,green/boot,boot/boot,POST,no residual,yes,DE,na,2022,POST (-1 DAT),palmer amaranth,19,1m2,0,8,24,32,30,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108,b1,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,4,4,8,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
213,b2,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,16,1m2,0,0,0,0,12,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
313,b3,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,30,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
404,b4,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,2022,POST (-1 DAT),palmer amaranth,15,1m2,0,0,0,0,38,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
