plot,blk,trt,plt.date,herb.trt,herb.trt.POSTdemo,NoResidualAtPost,location,date,site.year,year,timing,weed.species,soy.hgt.cm,weed.demo.unit,above.canopy,greater.ten.cm,less.ten.cm,total.weed.den,weed.check,std.weed den,eb.data,eb.herb,eb.plt.dt,ea.data,ea.herb,ea.plt.dt,lb.data,lb.herb,lb.plt.dt,la.data,la.herb,la.plt.dt,yield.data,rye.bio.m2,soybean.kgha,lorenz,ob1,ob2,ob3,ob4,ob5,ob6,ob7,ob8,ob9,ob10,ob11,ob12,ob13,ob14,ob15,ob16
111,b1,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,0,0,28.5,28,no,,,no,,,yes,utc,late,yes,utc,late,yes,62,4525.925,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
202,b2,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,28,28,28.5,34,no,,,no,,,yes,utc,late,yes,utc,late,yes,137,5037.025,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
307,b3,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,24,24,28.5,28,no,,,no,,,yes,utc,late,yes,utc,late,yes,98,5124.45,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
409,b4,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,28,28,28.5,30,no,,,no,,,yes,utc,late,yes,utc,late,yes,70.8,4552.825,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,b1,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,17,1m2,0,0,12,12,28.5,28,yes,utc,early,yes,utc,early,no,,,no,,,yes,73.8,5084.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
215,b2,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,17,1m2,0,4,52,56,28.5,34,yes,utc,early,yes,utc,early,no,,,no,,,yes,80.2,4734.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,b3,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,16,1m2,0,4,20,24,28.5,28,yes,utc,early,yes,utc,early,no,,,no,,,yes,54.6,5198.425,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
405,b4,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,24,24,28.5,30,yes,utc,early,yes,utc,early,no,,,no,,,yes,44.2,4055.175,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,b1,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,12,12,28.5,28,yes,utc,early,yes,utc,early,no,,,no,,,yes,73.8,4465.4,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
214,b2,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,72,72,28.5,34,yes,utc,early,yes,utc,early,no,,,no,,,yes,80.2,4115.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,b3,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,18,1m2,8,16,80,104,28.5,28,yes,utc,early,yes,utc,early,no,,,no,,,yes,54.6,5084.1,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
402,b4,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),common ragweed,12,1m2,4,8,44,56,28.5,30,yes,utc,early,yes,utc,early,no,,,no,,,yes,44.2,4035,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,b1,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,16,16,28.5,28,no,,,no,,,no,,,no,,,yes,77.8,5077.375,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
206,b2,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,0,0,28.5,34,no,,,no,,,no,,,no,,,yes,76,5326.2,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,b3,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,12,12,28.5,28,no,,,no,,,no,,,no,,,yes,62,4371.25,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
415,b4,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,4,4,28.5,30,no,,,no,,,no,,,no,,,yes,54.6,4613.35,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
104,b1,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,8,8,28.5,28,no,,,no,,,no,,,no,,,yes,77.8,4418.325,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
208,b2,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,8,8,28.5,34,no,,,no,,,no,,,no,,,yes,76,4828.55,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
304,b3,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,4,4,28.5,28,no,,,no,,,no,,,no,,,yes,62,4122.425,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
414,b4,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,4,4,28.5,30,no,,,no,,,no,,,no,,,yes,54.6,4377.975,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
101,b1,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11.5,1m2,0,0,16,16,28.5,28,no,,,no,,,no,,,no,,,yes,76,4418.325,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
210,b2,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,28.5,34,no,,,no,,,no,,,no,,,yes,62,4512.475,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,b3,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,77.8,4499.025,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
413,b4,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,10,1m2,0,0,8,8,28.5,30,no,,,no,,,no,,,no,,,yes,54.6,4694.05,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
115,b1,12,standard (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,16,16,28.5,28,no,,,no,,,no,,,no,,,yes,62,4115.7,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
205,b2,12,standard (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,24,24,28.5,34,no,,,no,,,no,,,no,,,yes,137,4996.675,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
310,b3,12,standard (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,36,36,28.5,28,no,,,no,,,no,,,no,,,yes,98,4532.65,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
410,b4,12,standard (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,16,16,28.5,30,no,,,no,,,no,,,no,,,yes,70.8,4344.35,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
114,b1,13,standard (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,62,4451.95,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
204,b2,13,standard (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,28.5,34,no,,,no,,,no,,,no,,,yes,137,4492.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
308,b3,13,standard (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,8,8,28.5,28,no,,,no,,,no,,,no,,,yes,98,5568.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
407,b4,13,standard (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,12,12,28.5,30,no,,,no,,,no,,,no,,,yes,70.8,4445.225,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
112,b1,15,standard (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,12,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,62,4868.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
203,b2,15,standard (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,9,1m2,0,0,12,12,28.5,34,no,,,no,,,no,,,no,,,yes,137,5299.3,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
309,b3,15,standard (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,8,1m2,0,0,4,4,28.5,28,no,,,no,,,no,,,no,,,yes,98,4768.025,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
408,b4,15,standard (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,7,1m2,0,0,0,0,28.5,30,no,,,no,,,no,,,no,,,yes,70.8,4667.15,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
109,b1,7,early (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,15,1m2,0,4,16,20,28.5,28,no,,,no,,,no,,,no,,,yes,73.8,4438.5,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
212,b2,7,early (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,16,16,28.5,34,no,,,no,,,no,,,no,,,yes,80.2,4108.975,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
314,b3,7,early (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,20,20,28.5,28,no,,,no,,,no,,,no,,,yes,54.6,4573,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
401,b4,7,early (1 DAP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,13,1m2,0,4,32,36,28.5,30,no,,,no,,,no,,,no,,,yes,44.2,4095.525,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
107,b1,8,early (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,73.8,5312.75,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
211,b2,8,early (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,15,1m2,0,0,8,8,28.5,34,no,,,no,,,no,,,no,,,yes,80.2,4203.125,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
312,b3,8,early (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,15,1m2,0,0,8,8,28.5,28,no,,,no,,,no,,,no,,,yes,54.6,4599.9,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
403,b4,8,early (1 DAP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,13,1m2,0,0,12,12,28.5,30,no,,,no,,,no,,,no,,,yes,44.2,4108.975,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108,b1,10,early (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,14,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,73.8,5023.575,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
213,b2,10,early (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,4,4,28.5,34,no,,,no,,,no,,,no,,,yes,80.2,4122.425,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
313,b3,10,early (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,11,1m2,0,0,0,0,28.5,28,no,,,no,,,no,,,no,,,yes,54.6,4512.475,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
404,b4,10,early (1 DAP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),common ragweed,16,1m2,0,0,4,4,28.5,30,no,,,no,,,no,,,no,,,yes,44.2,3288.525,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
103,b1,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,16,16,24,8,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
209,b2,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,7,1m2,8,8,8,24,24,12,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,b3,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,12,12,20,44,24,30,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
412,b4,1,standard (14 DPP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,9,1m2,8,8,20,36,24,38,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
102,b1,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,24,8,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
207,b2,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,24,12,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,b3,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,16,16,24,30,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
411,b4,4,standard (14 DPP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,20,36,56,24,38,yes,utc,std,yes,utc,std,yes,utc,std,yes,utc,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
113,b1,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,9,1m2,0,0,8,8,24,8,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201,b2,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,8,1m2,4,4,16,24,24,12,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
306,b3,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,0,20,20,24,30,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
406,b4,11,standard (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,8,1m2,0,0,20,20,24,38,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
111,b1,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,24,8,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
202,b2,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,4,4,24,12,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
307,b3,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,24,30,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
409,b4,14,standard (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,8,1m2,0,0,12,12,24,38,no,,,no,,,yes,utc,late,yes,utc,late,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,b1,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,19,1m2,0,0,16,16,24,8,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
215,b2,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,18,1m2,0,0,16,16,24,12,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,b3,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,12,1m2,4,4,24,32,24,30,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
405,b4,6,early (1 DAP),no residual,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,24,30,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,b1,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,24,24,24,8,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
214,b2,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,18,1m2,0,0,20,20,24,12,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,b3,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,19,1m2,0,8,24,32,24,30,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
402,b4,9,early (1 DAP),POST,no residual,yes,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,14,1m2,0,0,20,20,24,38,yes,utc,early,yes,utc,early,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,b1,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,8,8,24,8,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
206,b2,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,12,12,24,12,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,b3,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,4,4,24,30,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
415,b4,2,standard (14 DPP),boot,boot,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,6,1m2,0,0,0,0,24,38,yes,pre,std,no,,,yes,pre,std,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
104,b1,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,24,8,no,,,yes,pre,std,no,,,yes,pre,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
208,b2,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,24,12,no,,,yes,pre,std,no,,,yes,pre,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
304,b3,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,24,30,no,,,yes,pre,std,no,,,yes,pre,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
414,b4,3,standard (14 DPP),anthesis,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,24,38,no,,,yes,pre,std,no,,,yes,pre,std,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
101,b1,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,12,1m2,0,0,0,0,24,8,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
210,b2,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,24,12,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,b3,5,standard (14 DPP),anthesis/POST,anthesis,no,DE,na,DE22,2022,POST (-1 DAT),palmer amaranth,11,1m2,0,0,4,4,24,30,no,,,no,,,no,,,no,,,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
