plot,blk,trt,plt.date,term.plt,herb.trt,herb.trt.POSTdemo,NoResidualAtPost,location,date,timing,weed.species,soy.hgt.cm,weed.demo.unit,above.canopy,greater.ten.cm,less.ten.cm,total.weed.den,std.weed den,yield.data,rye.bio.m2,soybean.buac,lorenz,ob1,ob2,ob3,ob4,ob5,ob6,ob6,ob7,ob8,ob9,ob10,ob11,ob12,ob13,ob14,ob15
104,b1,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
105,b1,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,8,8,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
106,b1,9,green/boot,boot/boot,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,14,1m2,0,0,24,24,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
107,b1,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
108,b1,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,14,1m2,0,0,4,4,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
109,b1,7,green/boot,boot/boot,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,15,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
110,b1,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,19,1m2,0,0,16,16,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
111,b1,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
112,b1,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
113,b1,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,8,8,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
114,b1,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,14,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
115,b1,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,15,1m2,0,0,0,0,8,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
202,b2,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,4,4,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
203,b2,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
204,b2,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,8,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
205,b2,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,8,8,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
206,b2,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,12,12,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
207,b2,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
208,b2,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
210,b2,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
211,b2,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,17,1m2,0,0,8,8,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
212,b2,7,green/boot,boot/boot,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
213,b2,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,16,1m2,0,0,0,0,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
214,b2,9,green/boot,boot/boot,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,18,1m2,0,0,20,20,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
215,b2,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,18,1m2,0,0,16,16,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
302,b3,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,16,16,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
303,b3,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,4,4,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
304,b3,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
305,b3,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,4,4,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
306,b3,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,12,1m2,0,0,20,20,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
307,b3,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
308,b3,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
309,b3,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
310,b3,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
312,b3,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
313,b3,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,11,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
314,b3,7,green/boot,boot/boot,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,18,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
401,b4,7,green/boot,boot/boot,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,16,16,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
402,b4,9,green/boot,boot/boot,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,14,1m2,0,0,20,20,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
403,b4,8,green/boot,boot/boot,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,12,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
404,b4,10,green/boot,boot/boot,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,15,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
405,b4,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,13,1m2,0,0,0,0,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
406,b4,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,8,1m2,0,0,20,20,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
407,b4,13,green/anthesis,anthesis/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,7,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
408,b4,15,green/anthesis,anthesis/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,6,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
409,b4,14,green/anthesis,anthesis/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,8,1m2,0,0,12,12,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
410,b4,12,green/anthesis,anthesis/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,8,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
413,b4,5,brown/anthesis,boot/anthesis,anthesis/POST,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
414,b4,3,brown/anthesis,boot/anthesis,anthesis,anthesis,no,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
415,b4,2,brown/anthesis,boot/anthesis,boot,boot,no,DE,na,POST (-1 DAT),palmer amaranth,6,1m2,0,0,0,0,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201,b2,11,green/anthesis,anthesis/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,8,1m2,4,4,16,24,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
315,b3,6,green/boot,boot/boot,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,12,1m2,4,4,24,32,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
311,b3,9,green/boot,boot/boot,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,19,1m2,0,8,24,32,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
209,b2,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,7,1m2,8,8,8,24,12,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
412,b4,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,9,1m2,8,8,20,36,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
301,b3,1,brown/anthesis,boot/anthesis,no residual,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,10,1m2,12,12,20,44,30,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
411,b4,4,brown/anthesis,boot/anthesis,POST,no residual,yes,DE,na,POST (-1 DAT),palmer amaranth,12,1m2,0,20,36,56,38,no,na,na,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
